"time","°C.mean_value"
"2024-02-07T10:00:00.000+04:00","22.185714285714283"
"2024-02-07T12:00:00.000+04:00","22.16"
"2024-02-07T14:00:00.000+04:00","22.15"
"2024-02-07T16:00:00.000+04:00","22.114285714285717"
"2024-02-07T18:00:00.000+04:00","22.05"
"2024-02-07T20:00:00.000+04:00","22.1"
"2024-02-07T22:00:00.000+04:00","22.04"
"2024-02-08T00:00:00.000+04:00","22.05"
"2024-02-08T02:00:00.000+04:00","22.05"
"2024-02-08T04:00:00.000+04:00","22.05"
"2024-02-08T06:00:00.000+04:00","22.099999999999998"
"2024-02-08T08:00:00.000+04:00","22.23333333333333"
"2024-02-08T10:00:00.000+04:00","22.283333333333335"
"2024-02-08T12:00:00.000+04:00","22.319999999999997"
"2024-02-08T14:00:00.000+04:00","22.24285714285714"
"2024-02-08T16:00:00.000+04:00","22.071428571428573"
"2024-02-08T18:00:00.000+04:00","22.05"
"2024-02-08T20:00:00.000+04:00","22.057142857142857"
"2024-02-08T22:00:00.000+04:00","22.03333333333333"
"2024-02-09T00:00:00.000+04:00",
"2024-02-09T02:00:00.000+04:00",
"2024-02-09T04:00:00.000+04:00","21.95"
"2024-02-09T06:00:00.000+04:00","21.939999999999998"
"2024-02-09T08:00:00.000+04:00","21.96"
"2024-02-09T10:00:00.000+04:00","22.05"
"2024-02-09T12:00:00.000+04:00","22.025"
"2024-02-09T14:00:00.000+04:00","22.049999999999997"
"2024-02-09T16:00:00.000+04:00","22.049999999999997"
"2024-02-09T18:00:00.000+04:00","22.049999999999997"
"2024-02-09T20:00:00.000+04:00","22.03333333333333"
"2024-02-09T22:00:00.000+04:00","22.133333333333336"
"2024-02-10T00:00:00.000+04:00","22.15"
"2024-02-10T02:00:00.000+04:00","22.15"
"2024-02-10T04:00:00.000+04:00","22.1"
"2024-02-10T06:00:00.000+04:00","22.066666666666666"
"2024-02-10T08:00:00.000+04:00","22.15"
"2024-02-10T10:00:00.000+04:00","22.140000000000004"
"2024-02-10T12:00:00.000+04:00","22.166666666666668"
"2024-02-10T14:00:00.000+04:00","22.150000000000002"
"2024-02-10T16:00:00.000+04:00","22.150000000000002"
"2024-02-10T18:00:00.000+04:00","22.166666666666668"
"2024-02-10T20:00:00.000+04:00","22.16"
"2024-02-10T22:00:00.000+04:00","22.150000000000002"
"2024-02-11T00:00:00.000+04:00","22.15"
"2024-02-11T02:00:00.000+04:00",
"2024-02-11T04:00:00.000+04:00","22.25"
"2024-02-11T06:00:00.000+04:00",
"2024-02-11T08:00:00.000+04:00","22.3"
"2024-02-11T10:00:00.000+04:00","22.233333333333334"
"2024-02-11T12:00:00.000+04:00","22.333333333333332"
"2024-02-11T14:00:00.000+04:00","22.299999999999997"
"2024-02-11T16:00:00.000+04:00","22.266666666666666"
"2024-02-11T18:00:00.000+04:00","22.35"
"2024-02-11T20:00:00.000+04:00","22.349999999999998"
