"time","VA.mean_value"
"2024-01-25T06:56:00.000+04:00","54.083333333333336"
"2024-01-25T12:00:00.000+04:00","47.125"
"2024-01-25T17:04:00.000+04:00","25.5625"
"2024-01-25T22:08:00.000+04:00","21.583333333333332"
"2024-01-26T03:12:00.000+04:00","25.48076923076923"
"2024-01-26T08:16:00.000+04:00","20.6"
"2024-01-26T13:20:00.000+04:00","23"
"2024-01-26T18:24:00.000+04:00","25.11764705882353"
"2024-01-26T23:28:00.000+04:00","20.551020408163264"
"2024-01-27T04:32:00.000+04:00","23.77358490566038"
"2024-01-27T09:36:00.000+04:00","33.71739130434783"
"2024-01-27T14:40:00.000+04:00","30"
"2024-01-27T19:44:00.000+04:00","30.270833333333332"
"2024-01-28T00:48:00.000+04:00","21.270833333333332"
"2024-01-28T05:52:00.000+04:00","35.276595744680854"
"2024-01-28T10:56:00.000+04:00","24.5"
"2024-01-28T16:00:00.000+04:00","25.367346938775512"
"2024-01-28T21:04:00.000+04:00","20.333333333333332"
"2024-01-29T02:08:00.000+04:00","26.638297872340427"
"2024-01-29T07:12:00.000+04:00","65.33962264150944"
"2024-01-29T12:16:00.000+04:00","41.57142857142857"
"2024-01-29T17:20:00.000+04:00","24.98"
"2024-01-29T22:24:00.000+04:00","33.549019607843135"
"2024-01-30T03:28:00.000+04:00","29.476190476190474"
"2024-01-30T08:32:00.000+04:00",
"2024-01-30T13:36:00.000+04:00",
"2024-01-30T18:40:00.000+04:00",
"2024-01-30T23:44:00.000+04:00",
"2024-01-31T04:48:00.000+04:00","109.75"
"2024-01-31T09:52:00.000+04:00","68.19607843137256"
"2024-01-31T14:56:00.000+04:00","31.054545454545455"
"2024-01-31T20:00:00.000+04:00","31.04255319148936"
"2024-02-01T01:04:00.000+04:00","36.630434782608695"
"2024-02-01T06:08:00.000+04:00","52.42307692307692"
"2024-02-01T11:12:00.000+04:00","50.90384615384615"
"2024-02-01T16:16:00.000+04:00","29.520833333333332"
"2024-02-01T21:20:00.000+04:00","25.93877551020408"
"2024-02-02T02:24:00.000+04:00","21.270833333333332"
"2024-02-02T07:28:00.000+04:00","33.18"
"2024-02-02T12:32:00.000+04:00","25.057692307692307"
"2024-02-02T17:36:00.000+04:00","8.125"
"2024-02-02T22:40:00.000+04:00",
"2024-02-03T03:44:00.000+04:00",
"2024-02-03T08:48:00.000+04:00",
"2024-02-03T13:52:00.000+04:00",
"2024-02-03T18:56:00.000+04:00",
"2024-02-04T00:00:00.000+04:00",
"2024-02-04T05:04:00.000+04:00",
"2024-02-04T10:08:00.000+04:00",
"2024-02-04T15:12:00.000+04:00",
"2024-02-04T20:16:00.000+04:00",
"2024-02-05T01:20:00.000+04:00",
"2024-02-05T06:24:00.000+04:00","87.13513513513513"
"2024-02-05T11:28:00.000+04:00","53.03703703703704"
"2024-02-05T16:32:00.000+04:00","33.04651162790697"
"2024-02-05T21:36:00.000+04:00","20.98"
"2024-02-06T02:40:00.000+04:00","26.3125"
"2024-02-06T07:44:00.000+04:00","52.8"
"2024-02-06T12:48:00.000+04:00","54.04081632653061"
"2024-02-06T17:52:00.000+04:00","30.020833333333332"
"2024-02-06T22:56:00.000+04:00","31.458333333333332"
"2024-02-07T04:00:00.000+04:00","52.77272727272727"
"2024-02-07T09:04:00.000+04:00","41.5"
"2024-02-07T14:08:00.000+04:00","46.80392156862745"
"2024-02-07T19:12:00.000+04:00","31.84090909090909"
"2024-02-08T00:16:00.000+04:00","32.88636363636363"
"2024-02-08T05:20:00.000+04:00","45.61538461538461"
"2024-02-08T10:24:00.000+04:00","62.76923076923077"
"2024-02-08T15:28:00.000+04:00","28.865384615384617"
"2024-02-08T20:32:00.000+04:00","32.422222222222224"
"2024-02-09T01:36:00.000+04:00","26.836734693877553"
"2024-02-09T06:40:00.000+04:00","16.01923076923077"
"2024-02-09T11:44:00.000+04:00","33.80392156862745"
"2024-02-09T16:48:00.000+04:00","21.03921568627451"
"2024-02-09T21:52:00.000+04:00","25.98"
"2024-02-10T02:56:00.000+04:00","27.382978723404257"
"2024-02-10T08:00:00.000+04:00","20.854166666666668"
"2024-02-10T13:04:00.000+04:00","25.27659574468085"
"2024-02-10T18:08:00.000+04:00","28.195121951219512"
"2024-02-10T23:12:00.000+04:00","21"
"2024-02-11T04:16:00.000+04:00","27.636363636363637"
"2024-02-11T09:20:00.000+04:00","28.169811320754718"
"2024-02-11T14:24:00.000+04:00","35.46938775510204"
"2024-02-11T19:28:00.000+04:00","25.82"
"2024-02-12T00:32:00.000+04:00","24.943396226415093"
"2024-02-12T05:36:00.000+04:00","45.354166666666664"
"2024-02-12T10:40:00.000+04:00","50.96"
"2024-02-12T15:44:00.000+04:00","34.34"
"2024-02-12T20:48:00.000+04:00","35.023809523809526"
"2024-02-13T01:52:00.000+04:00","23.818181818181817"
"2024-02-13T06:56:00.000+04:00","71.15094339622641"
"2024-02-13T12:00:00.000+04:00","53.58536585365854"
"2024-02-13T17:04:00.000+04:00","21.391304347826086"
"2024-02-13T22:08:00.000+04:00","27.627906976744185"
"2024-02-14T03:12:00.000+04:00","38.22"
"2024-02-14T08:16:00.000+04:00","81.54716981132076"
"2024-02-14T13:20:00.000+04:00","61.8125"
"2024-02-14T18:24:00.000+04:00","30.26086956521739"
"2024-02-14T23:28:00.000+04:00","35.48717948717949"
"2024-02-15T04:32:00.000+04:00","48.76"
"2024-02-15T09:36:00.000+04:00","66.68518518518519"
"2024-02-15T14:40:00.000+04:00","33.45454545454545"
"2024-02-15T19:44:00.000+04:00","27.574074074074073"
"2024-02-16T00:48:00.000+04:00","28.307692307692307"
"2024-02-16T05:52:00.000+04:00","30.25"
"2024-02-16T10:56:00.000+04:00","25.20408163265306"
"2024-02-16T16:00:00.000+04:00","26.333333333333332"
"2024-02-16T21:04:00.000+04:00","25.48936170212766"
"2024-02-17T02:08:00.000+04:00","22"
"2024-02-17T07:12:00.000+04:00","29.614035087719298"
"2024-02-17T12:16:00.000+04:00","27.596153846153847"
"2024-02-17T17:20:00.000+04:00","29.755102040816325"
"2024-02-17T22:24:00.000+04:00","24.34"
"2024-02-18T03:28:00.000+04:00","29.72"
"2024-02-18T08:32:00.000+04:00","25.869565217391305"
"2024-02-18T13:36:00.000+04:00","29.274509803921568"
"2024-02-18T18:40:00.000+04:00","24.92"
"2024-02-18T23:44:00.000+04:00","29.49019607843137"
"2024-02-19T04:48:00.000+04:00","59.71153846153846"
"2024-02-19T09:52:00.000+04:00","63.48979591836735"
"2024-02-19T14:56:00.000+04:00","45.16"
"2024-02-19T20:00:00.000+04:00","23.35185185185185"
"2024-02-20T01:04:00.000+04:00","25.775510204081634"
"2024-02-20T06:08:00.000+04:00","56.2962962962963"
"2024-02-20T11:12:00.000+04:00","56.490196078431374"
"2024-02-20T16:16:00.000+04:00","22.74418604651163"
"2024-02-20T21:20:00.000+04:00","21.375"
"2024-02-21T02:24:00.000+04:00","24.88235294117647"
"2024-02-21T07:28:00.000+04:00","91.40384615384616"
"2024-02-21T12:32:00.000+04:00","55.851063829787236"
"2024-02-21T17:36:00.000+04:00","21.48936170212766"
"2024-02-21T22:40:00.000+04:00","28.69047619047619"
"2024-02-22T03:44:00.000+04:00","38.12"
"2024-02-22T08:48:00.000+04:00","70.35185185185185"
"2024-02-22T13:52:00.000+04:00","45.6875"
"2024-02-22T18:56:00.000+04:00","24.88"
"2024-02-23T00:00:00.000+04:00","25.829787234042552"
"2024-02-23T05:04:00.000+04:00","34.1"
"2024-02-23T10:08:00.000+04:00","26.568181818181817"
"2024-02-23T15:12:00.000+04:00","23.49056603773585"
"2024-02-23T20:16:00.000+04:00","36.46666666666667"
"2024-02-24T01:20:00.000+04:00","21.74468085106383"
"2024-02-24T06:24:00.000+04:00","31.065217391304348"
"2024-02-24T11:28:00.000+04:00","33.59574468085106"
"2024-02-24T16:32:00.000+04:00","30.083333333333332"
"2024-02-24T21:36:00.000+04:00","25.404255319148938"
"2024-02-25T02:40:00.000+04:00","30.20408163265306"
"2024-02-25T07:44:00.000+04:00","34.4468085106383"
"2024-02-25T12:48:00.000+04:00","32.71153846153846"
"2024-02-25T17:52:00.000+04:00","24.68"
"2024-02-25T22:56:00.000+04:00","25.340425531914892"
"2024-02-26T04:00:00.000+04:00","33.744680851063826"
