"time","W.mean_value"
"2024-01-17T21:36:00.000+04:00","52.083333333333336"
"2024-01-18T02:40:00.000+04:00","54.592592592592595"
"2024-01-18T07:44:00.000+04:00","79.6"
"2024-01-18T12:48:00.000+04:00","66.2258064516129"
"2024-01-18T17:52:00.000+04:00","56.90909090909091"
"2024-01-18T22:56:00.000+04:00","49.13333333333333"
"2024-01-19T04:00:00.000+04:00","74.14285714285714"
"2024-01-19T09:04:00.000+04:00","53.96296296296296"
"2024-01-19T14:08:00.000+04:00","53.43333333333333"
"2024-01-19T19:12:00.000+04:00","55.23684210526316"
"2024-01-20T00:16:00.000+04:00","51.81481481481482"
"2024-01-20T05:20:00.000+04:00","50.34375"
"2024-01-20T10:24:00.000+04:00","68.96774193548387"
"2024-01-20T15:28:00.000+04:00","53.13157894736842"
"2024-01-20T20:32:00.000+04:00","55.833333333333336"
"2024-01-21T01:36:00.000+04:00","51.7"
"2024-01-21T06:40:00.000+04:00","54.75"
"2024-01-21T11:44:00.000+04:00","57.07692307692308"
"2024-01-21T16:48:00.000+04:00","74.23684210526316"
"2024-01-21T21:52:00.000+04:00","50.78787878787879"
"2024-01-22T02:56:00.000+04:00","56.27777777777778"
"2024-01-22T08:00:00.000+04:00","78"
"2024-01-22T13:04:00.000+04:00","68.72222222222223"
"2024-01-22T18:08:00.000+04:00","56.08108108108108"
"2024-01-22T23:12:00.000+04:00","54.03333333333333"
"2024-01-23T04:16:00.000+04:00","83.51428571428572"
"2024-01-23T09:20:00.000+04:00","71.64864864864865"
"2024-01-23T14:24:00.000+04:00","74.975"
"2024-01-23T19:28:00.000+04:00","56.388888888888886"
"2024-01-24T00:32:00.000+04:00","66.8125"
"2024-01-24T05:36:00.000+04:00","59.529411764705884"
"2024-01-24T10:40:00.000+04:00","87.21212121212122"
"2024-01-24T15:44:00.000+04:00","57.833333333333336"
"2024-01-24T20:48:00.000+04:00","50.214285714285715"
"2024-01-25T01:52:00.000+04:00","57.60606060606061"
"2024-01-25T06:56:00.000+04:00","74.04761904761905"
"2024-01-25T12:00:00.000+04:00","68.96666666666667"
"2024-01-25T17:04:00.000+04:00","55.214285714285715"
"2024-01-25T22:08:00.000+04:00","66.13513513513513"
"2024-01-26T03:12:00.000+04:00","54.86486486486486"
"2024-01-26T08:16:00.000+04:00","56.515151515151516"
"2024-01-26T13:20:00.000+04:00","55.61764705882353"
"2024-01-26T18:24:00.000+04:00","53.666666666666664"
"2024-01-26T23:28:00.000+04:00","53.73529411764706"
"2024-01-27T04:32:00.000+04:00","73.8780487804878"
"2024-01-27T09:36:00.000+04:00","55.294117647058826"
"2024-01-27T14:40:00.000+04:00","56.71052631578947"
"2024-01-27T19:44:00.000+04:00","53.705882352941174"
"2024-01-28T00:48:00.000+04:00","55.38235294117647"
"2024-01-28T05:52:00.000+04:00","57.470588235294116"
"2024-01-28T10:56:00.000+04:00","79.42307692307692"
"2024-01-28T16:00:00.000+04:00","53.875"
"2024-01-28T21:04:00.000+04:00","52.81818181818182"
"2024-01-29T02:08:00.000+04:00","53.15625"
"2024-01-29T07:12:00.000+04:00","75.19047619047619"
